"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
2,825394100E-2;-1,811250114E1;-2,351250076E1;-4,205625153E1;5,147454402E1
4,821242100E-2;-9,543750763E0;-9,000000000E0;-5,280000305E1;5,440517899E1
6,820153400E-2;-9,356250763E0;-8,887500763E0;-5,274375153E1;5,429945141E1
8,819061700E-2;-9,487500191E0;-8,887500763E0;-5,238750076E1;5,397638897E1
1,081873250E-1;-9,543750763E0;-8,887500763E0;-5,231250381E1;5,391353173E1
1,281916160E-1;-9,656250000E0;-9,000000000E0;-5,208750153E1;5,373407652E1
1,481882960E-1;-9,656250000E0;-8,887500763E0;-5,201250076E1;5,364262363E1
1,681926020E-1;-9,600000381E0;-8,887500763E0;-5,190000153E1;5,352343258E1
1,881892790E-1;-9,543750763E0;-8,887500763E0;-5,178750229E1;5,340427176E1
2,081859630E-1;-9,656250000E0;-9,112500191E0;-5,178750229E1;5,346238133E1
2,281902350E-1;-9,843750000E0;-9,356250763E0;-5,178750229E1;5,353862377E1
2,481868540E-1;-9,656250000E0;-9,487500191E0;-5,190000153E1;5,363642403E1
2,681834970E-1;-9,300000191E0;-9,787500381E0;-5,201250076E1;5,373625780E1
2,881877680E-1;-9,000000000E0;-9,900000572E0;-5,220000076E1;5,388738341E1
3,081844180E-1;-8,587500572E0;-1,031250000E1;-5,225625229E1;5,395191123E1
3,281810800E-1;-8,456250191E0;-1,061250019E1;-5,238750076E1;5,411638905E1
3,481853420E-1;-8,156250000E0;-1,085625076E1;-5,255625153E1;5,428206121E1
3,681820010E-1;-7,556250095E0;-1,098750019E1;-5,268750381E1;5,434882827E1
3,881862830E-1;-7,200000286E0;-1,110000038E1;-5,274375153E1;5,437787544E1
4,081905340E-1;-6,712500095E0;-1,115625000E1;-5,298750305E1;5,456367886E1
4,281871700E-1;-6,712500095E0;-1,110000038E1;-5,285625076E1;5,442472702E1
4,481914660E-1;-6,487500191E0;-1,115625000E1;-5,291250229E1;5,446358849E1
4,681880820E-1;-6,412500381E0;-1,110000038E1;-5,291250229E1;5,444320957E1
4,881847330E-1;-6,243750095E0;-1,128750038E1;-5,280000305E1;5,435285091E1
5,081889940E-1;-6,112500191E0;-1,134375000E1;-5,291250229E1;5,445894069E1
